"","countryname","class_inductive","date","n_articles_day","cycle","quarter","priorelecdate","elecdate","gov_type","gov_type_aus_single","gov_type_maj_min","log_gdp_change_lag","poll_change_to_election","country_cycle","electoral_cycle","electoral_cycle_alt","days_cycle","n_articles_cycle","n_articles_prop","n_articles_day_lag"
"79","Australia","Ongoing",1996-05-20,7,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0835978835978836,0.0835978835978836,945,4187,0.00167184141390017,4
"80","Australia","Ongoing",1996-05-21,8,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0846560846560847,0.0846560846560847,945,4187,0.00191067590160019,7
"81","Australia","Ongoing",1996-05-22,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0857142857142857,0.0857142857142857,945,4187,0.00119417243850012,8
"82","Australia","Ongoing",1996-05-23,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0867724867724868,0.0867724867724868,945,4187,0.000477668975400048,5
"83","Australia","Ongoing",1996-05-24,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0878306878306878,0.0878306878306878,945,4187,0.000238834487700024,2
"84","Australia","Ongoing",1996-05-25,17,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0888888888888889,0.0888888888888889,945,4187,0.00406018629090041,1
"85","Australia","Ongoing",1996-05-26,5,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0899470899470899,0.0899470899470899,945,4187,0.00119417243850012,17
"86","Australia","Ongoing",1996-05-27,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.091005291005291,0.091005291005291,945,4187,0.00143300692620014,5
"87","Australia","Ongoing",1996-05-28,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0920634920634921,0.0920634920634921,945,4187,0.00143300692620014,6
"88","Australia","Ongoing",1996-05-29,2,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0931216931216931,0.0931216931216931,945,4187,0.000477668975400048,6
